System Version: 1011601622
No	Value		Title
147	1		14th axis gear number at screw side
148	1		14th axis gear number at motor side
149	1		15th axis gear number at screw side
150	1		15th axis gear number at motor side
151	1		16th axis gear number at screw side
152	1		16th axis gear number at motor side
161	116678		X axis pitch amount(BLU)
162	116678		Y axis pitch amount(BLU)
163	10000		Z axis pitch amount(BLU)
164	360000		4th axis pitch amount(BLU)
165	5000		5th axis pitch amount(BLU)
166	5000		6th axis pitch amount(BLU)
167	5000		7th axis pitch amount(BLU)
168	5000		8th axis pitch amount(BLU)
169	5000		9th axis pitch amount(BLU)
170	5000		10th axis pitch amount(BLU)
171	5000		11th axis pitch amount(BLU)
172	5000		12th axis pitch amount(BLU)
173	5000		13th axis pitch amount(BLU)
174	5000		14th axis pitch amount(BLU)
175	5000		15th axis pitch amount(BLU)
176	5000		16th axis pitch amount(BLU)
181	60		X axis servo loop gain(1/sec)
182	60		Y axis servo loop gain(1/sec)
183	60		Z axis servo loop gain(1/sec)
184	60		4th axis servo loop gain(1/sec)
185	30		5th axis servo loop gain(1/sec)
186	30		6th axis servo loop gain(1/sec)
187	30		7th axis servo loop gain(1/sec)
188	30		8th axis servo loop gain(1/sec)
189	30		9th axis servo loop gain(1/sec)
190	30		10th axis servo loop gain(1/sec)
191	30		11th axis servo loop gain(1/sec)
192	30		12th axis servo loop gain(1/sec)
193	30		13th axis servo loop gain(1/sec)
194	30		14th axis servo loop gain(1/sec)
195	30		15th axis servo loop gain(1/sec)
196	30		16th axis servo loop gain(1/sec)
201	0		*X axis sensor type(0:Enc;1:Ruler;2:No;3:Abs)
202	0		*Y axis sensor type(0:Enc;1:Ruler;2:No;3:Abs)
203	0		*Z axis sensor type(0:Enc;1:Ruler;2:No;3:Abs)
204	0		*4th axis sensor type(0:Enc;1:Ruler;2:No;3:Abs)
205	0		*5th axis sensor type(0:Enc;1:Ruler;2:No;3:Abs)
206	0		*6th axis sensor type(0:Enc;1:Ruler;2:No;3:Abs)
207	0		*7th axis sensor type(0:Enc;1:Ruler;2:No;3:Abs)
208	0		*8th axis sensor type(0:Enc;1:Ruler;2:No;3:Abs)
209	0		*9th axis sensor type(0:Enc;1:Ruler;2:No;3:Abs)
210	0		*10th axis sensor type(0:Enc;1:Ruler;2:No;3:Abs)
211	0		*11th axis sensor type(0:Enc;1:Ruler;2:No;3:Abs)
212	0		*12th axis sensor type(0:Enc;1:Ruler;2:No;3:Abs)
213	0		*13th axis sensor type(0:Enc;1:Ruler;2:No;3:Abs)
214	0		*14th axis sensor type(0:Enc;1:Ruler;2:No;3:Abs)
215	0		*15th axis sensor type(0:Enc;1:Ruler;2:No;3:Abs)
216	0		*16th axis sensor type(0:Enc;1:Ruler;2:No;3:Abs)
221	0		X axis type(0:Linear;1-5:Rotation Type A-E)
222	0		Y axis type(0:Linear;1-5:Rotation Type A-E)
223	0		Z axis type(0:Linear;1-5:Rotation Type A-E)
224	1		4th axis type(0:Linear;1-5:Rotation Type A-E)
225	0		5th axis type(0:Linear;1-5:Rotation Type A-E)
226	0		6th axis type(0:Linear;1-5:Rotation Type A-E)
227	0		7th axis type(0:Linear;1-5:Rotation Type A-E)
228	0		8th axis type(0:Linear;1-5:Rotation Type A-E)
229	0		9th axis type(0:Linear;1-5:Rotation Type A-E)
230	0		10th axis type(0:Linear;1-5:Rotation Type A-E)
231	0		11th axis type(0:Linear;1-5:Rotation Type A-E)
232	0		12th axis type(0:Linear;1-5:Rotation Type A-E)
233	0		13th axis type(0:Linear;1-5:Rotation Type A-E)
234	0		14th axis type(0:Linear;1-5:Rotation Type A-E)
235	0		15th axis type(0:Linear;1-5:Rotation Type A-E)
236	0		16th axis type(0:Linear;1-5:Rotation Type A-E)
241	0		*X axis dual feedback related to port no.
242	0		*Y axis dual feedback related to port no.
243	0		*Z axis dual feedback related to port no.
244	0		*4th axis dual feedback related to port no.
245	0		*5th axis dual feedback related to port no.
246	0		*6th axis dual feedback related to port no.
247	0		*7th axis dual feedback related to port no.
248	0		*8th axis dual feedback related to port no.
249	0		*9th axis dual feedback related to port no.
250	0		*10th axis dual feedback related to port no.
251	0		*11th axis dual feedback related to port no.
252	0		*12th axis dual feedback related to port no.
253	0		*13th axis dual feedback related to port no.
254	0		*14th axis dual feedback related to port no.
255	0		*15th axis dual feedback related to port no.
256	0		*16th axis dual feedback related to port no.
261	250		X axis dual feedback res.(En:p/rev;Sc:p/mm)
262	250		Y axis dual feedback res.(En:p/rev;Sc:p/mm)
263	250		Z axis dual feedback res.(En:p/rev;Sc:p/mm)
264	250		4th axis dual feedback res.(En:p/rev;Sc:p/mm)
265	250		5th axis dual feedback res.(En:p/rev;Sc:p/mm)
266	250		6th axis dual feedback res.(En:p/rev;Sc:p/mm)
267	250		7th axis dual feedback res.(En:p/rev;Sc:p/mm)
268	250		8th axis dual feedback res.(En:p/rev;Sc:p/mm)
269	250		9th axis dual feedback res.(En:p/rev;Sc:p/mm)
270	250		10th axis dual feedback res.(En:p/rev;Sc:p/mm)
271	250		11th axis dual feedback res.(En:p/rev;Sc:p/mm)
272	250		12th axis dual feedback res.(En:p/rev;Sc:p/mm)
273	250		13th axis dual feedback res.(En:p/rev;Sc:p/mm)
274	250		14th axis dual feedback res.(En:p/rev;Sc:p/mm)
275	250		15th axis dual feedback res.(En:p/rev;Sc:p/mm)
276	250		16th axis dual feedback res.(En:p/rev;Sc:p/mm)
281	0		X axis dimension type(0:radius;1:diameter)
282	0		Y axis dimension type(0:radius;1:diameter)
283	0		Z axis dimension type(0:radius;1:diameter)
284	0		4th axis dimension type(0:radius;1:diameter)
285	0		5th axis dimension type(0:radius;1:diameter)
286	0		6th axis dimension type(0:radius;1:diameter)
287	0		7th axis dimension type(0:radius;1:diameter)
288	0		8th axis dimension type(0:radius;1:diameter)
289	0		9th axis dimension type(0:radius;1:diameter)
290	0		10th axis dimension type(0:radius;1:diameter)
291	0		11th axis dimension type(0:radius;1:diameter)
292	0		12th axis dimension type(0:radius;1:diameter)
293	0		13th axis dimension type(0:radius;1:diameter)
294	0		14th axis dimension type(0:radius;1:diameter)
295	0		15th axis dimension type(0:radius;1:diameter)
296	0		16th axis dimension type(0:radius;1:diameter)
301	4		X axis dual feedback scaling factor
302	4		Y axis dual feedback scaling factor
303	4		Z axis dual feedback scaling factor
304	4		4th axis dual feedback scaling factor
305	4		5th axis dual feedback scaling factor
306	4		6th axis dual feedback scaling factor
307	4		7th axis dual feedback scaling factor
308	4		8th axis dual feedback scaling factor
309	4		9th axis dual feedback scaling factor
310	4		10th axis dual feedback scaling factor
311	4		11th axis dual feedback scaling factor
312	4		12th axis dual feedback scaling factor
313	4		13th axis dual feedback scaling factor
314	4		14th axis dual feedback scaling factor
315	4		15th axis dual feedback scaling factor
316	4		16th axis dual feedback scaling factor
321	100		*X axis axis name
322	200		*Y axis axis name
323	300		*Z axis axis name
324	400		*4th axis axis name
325	500		*5th axis axis name
326	600		*6th axis axis name
327	700		*7th axis axis name
328	800		*8th axis axis name
329	900		*9th axis axis name
330	901		*10th axis axis name
331	902		*11th axis axis name
332	903		*12th axis axis name
333	904		*13th axis axis name
334	905		*14th axis axis name
335	906		*15th axis axis name
336	907		*16th axis axis name
341	1		X axis command multiplier
342	1		Y axis command multiplier
343	1		Z axis command multiplier
344	1		4th axis command multiplier
345	1		5th axis command multiplier
346	1		6th axis command multiplier
347	1		7th axis command multiplier
348	1		8th axis command multiplier
349	1		9th axis command multiplier
350	1		10th axis command multiplier
351	1		11th axis command multiplier
352	1		12th axis command multiplier
353	1		13th axis command multiplier
354	1		14th axis command multiplier
355	1		15th axis command multiplier
356	1		16th axis command multiplier
361	1		X axis command divisor
362	1		Y axis command divisor
363	1		Z axis command divisor
364	1		4th axis command divisor
365	1		5th axis command divisor
366	1		6th axis command divisor
367	1		7th axis command divisor
368	1		8th axis command divisor
369	1		9th axis command divisor
370	1		10th axis command divisor
371	1		11th axis command divisor
372	1		12th axis command divisor
373	1		13th axis command divisor
374	1		14th axis command divisor
375	1		15th axis command divisor
376	1		16th axis command divisor
381	2		*X axis Position Servo Mode(0:CW;1:Volt;2:AB)
382	2		*Y axis Position Servo Mode(0:CW;1:Volt;2:AB)
383	2		*Z axis Position Servo Mode(0:CW;1:Volt;2:AB)
384	2		*4th axis Position Servo Mode(0:CW;1:Volt;2:AB)
385	2		*5th axis Position Servo Mode(0:CW;1:Volt;2:AB)
386	2		*6th axis Position Servo Mode(0:CW;1:Volt;2:AB)
387	2		*7th axis Position Servo Mode(0:CW;1:Volt;2:AB)
388	2		*8th axis Position Servo Mode(0:CW;1:Volt;2:AB)
389	2		*9th axis Position Servo Mode(0:CW;1:Volt;2:AB)
390	2		*10th axis Position Servo Mode(0:CW;1:Volt;2:AB)
391	2		*11th axis Position Servo Mode(0:CW;1:Volt;2:AB)
392	2		*12th axis Position Servo Mode(0:CW;1:Volt;2:AB)
393	2		*13th axis Position Servo Mode(0:CW;1:Volt;2:AB)
394	2		*14th axis Position Servo Mode(0:CW;1:Volt;2:AB)
395	2		*15th axis Position Servo Mode(0:CW;1:Volt;2:AB)
396	2		*16th axis Position Servo Mode(0:CW;1:Volt;2:AB)
401	800		Cutting acceleration time(ms)
402	300		acceleration accelerated to 1G time(Jerk)(ms)
404	100		Post acceleration bell-shaped time(ms)
405	30000		Maximum cutting feedrate(mm/min)
406	500		Maximum corner reference feedrate(mm/min)
407	2		HPCC smoothing tolerance(um)
408	2000		Arc cutting reference feedrate at raduis 5 mm(mm/min)
409	300		Thread cutting acceleration time of 1 m/min(ms)
410	200		MPG acceleration time(ms)
411	0		Rapid Travel(G00) type(0:Linear;1:Independ)
412	0		Tool Length Compensation Restoration Mode(0:unrestore;1:restore)
413	0		G92 coordinate persist mode(0:No;1:Reset;2:PowerOff)
414	0		Workpiece coor. persist mode(0:No;1:Reset;2:PowerOff)
415	0		*Res. cur. tool len. after reset/off(0:No;1:Yes)
416	1000		Rigid tapping coupling time(0.001 rev)
417	0		Rigid tapping velocity gain
418	0		Rigid tapping acceleration/deceleration gain
419	1000		Rigid tapping spindle deceleration time(ms)
420	0		Active Axis Group for tapping learning
421	30		X axis cutting in-pos. window(BLU)
422	30		Y axis cutting in-pos. window(BLU)
423	30		Z axis cutting in-pos. window(BLU)
424	1000		4th axis cutting in-pos. window(BLU)
425	0		5th axis cutting in-pos. window(BLU)
426	0		6th axis cutting in-pos. window(BLU)
427	0		7th axis cutting in-pos. window(BLU)
428	0		8th axis cutting in-pos. window(BLU)
429	0		9th axis cutting in-pos. window(BLU)
430	0		10th axis cutting in-pos. window(BLU)
431	0		11th axis cutting in-pos. window(BLU)
432	0		12th axis cutting in-pos. window(BLU)
433	0		13th axis cutting in-pos. window(BLU)
434	0		14th axis cutting in-pos. window(BLU)
435	0		15th axis cutting in-pos. window(BLU)
436	0		16th axis cutting in-pos. window(BLU)
441	200		X axis rapid travel(G00) acc. time(ms)
442	200		Y axis rapid travel(G00) acc. time(ms)
443	200		Z axis rapid travel(G00) acc. time(ms)
444	200		4th axis rapid travel(G00) acc. time(ms)
445	200		5th axis rapid travel(G00) acc. time(ms)
446	200		6th axis rapid travel(G00) acc. time(ms)
447	200		7th axis rapid travel(G00) acc. time(ms)
448	200		8th axis rapid travel(G00) acc. time(ms)
449	200		9th axis rapid travel(G00) acc. time(ms)
450	200		10th axis rapid travel(G00) acc. time(ms)
451	200		11th axis rapid travel(G00) acc. time(ms)
452	200		12th axis rapid travel(G00) acc. time(ms)
453	200		13th axis rapid travel(G00) acc. time(ms)
454	200		14th axis rapid travel(G00) acc. time(ms)
455	200		15th axis rapid travel(G00) acc. time(ms)
456	200		16th axis rapid travel(G00) acc. time(ms)
461	50000		X axis max. rapid travel feedrate(mm/min)
462	50000		Y axis max. rapid travel feedrate(mm/min)
463	5000		Z axis max. rapid travel feedrate(mm/min)
464	36000		4th axis max. rapid travel feedrate(deg/min)
465	10000		5th axis max. rapid travel feedrate(deg/min)
466	10000		6th axis max. rapid travel feedrate(deg/min)
467	10000		7th axis max. rapid travel feedrate(deg/min)
468	10000		8th axis max. rapid travel feedrate(deg/min)
469	10000		9th axis max. rapid travel feedrate(deg/min)
470	10000		10th axis max. rapid travel feedrate(deg/min)
471	10000		11th axis max. rapid travel feedrate(deg/min)
472	10000		12th axis max. rapid travel feedrate(deg/min)
473	10000		13th axis max. rapid travel feedrate(deg/min)
474	10000		14th axis max. rapid travel feedrate(deg/min)
475	10000		15th axis max. rapid travel feedrate(deg/min)
476	10000		16th axis max. rapid travel feedrate(deg/min)
481	60		X axis rapid travel in-pos. window(BLU)
482	60		Y axis rapid travel in-pos. window(BLU)
483	60		Z axis rapid travel in-pos. window(BLU)
484	2000		4th axis rapid travel in-pos. window(BLU)
485	30		5th axis rapid travel in-pos. window(BLU)
486	30		6th axis rapid travel in-pos. window(BLU)
487	30		7th axis rapid travel in-pos. window(BLU)
488	30		8th axis rapid travel in-pos. window(BLU)
489	30		9th axis rapid travel in-pos. window(BLU)
490	30		10th axis rapid travel in-pos. window(BLU)
491	30		11th axis rapid travel in-pos. window(BLU)
492	30		12th axis rapid travel in-pos. window(BLU)
493	30		13th axis rapid travel in-pos. window(BLU)
494	30		14th axis rapid travel in-pos. window(BLU)
495	30		15th axis rapid travel in-pos. window(BLU)
496	30		16th axis rapid travel in-pos. window(BLU)
501	0		X axis rapid travel F0 feedrate(mm/min)
502	0		Y axis rapid travel F0 feedrate(mm/min)
503	0		Z axis rapid travel F0 feedrate(mm/min)
504	0		4th axis rapid travel F0 feedrate(deg/min)
505	0		5th axis rapid travel F0 feedrate(deg/min)
506	0		6th axis rapid travel F0 feedrate(deg/min)
507	0		7th axis rapid travel F0 feedrate(deg/min)
508	0		8th axis rapid travel F0 feedrate(deg/min)
509	0		9th axis rapid travel F0 feedrate(deg/min)
510	0		10th axis rapid travel F0 feedrate(deg/min)
511	0		11th axis rapid travel F0 feedrate(deg/min)
512	0		12th axis rapid travel F0 feedrate(deg/min)
513	0		13th axis rapid travel F0 feedrate(deg/min)
514	0		14th axis rapid travel F0 feedrate(deg/min)
515	0		15th axis rapid travel F0 feedrate(deg/min)
516	0		16th axis rapid travel F0 feedrate(deg/min)
521	8000		X axis JOG feedrate(mm/min)
522	8000		Y axis JOG feedrate(mm/min)
523	8000		Z axis JOG feedrate(mm/min)
524	3600		4th axis JOG feedrate(deg/min)
525	1000		5th axis JOG feedrate(deg/min)
526	1000		6th axis JOG feedrate(deg/min)
527	1000		7th axis JOG feedrate(deg/min)
528	1000		8th axis JOG feedrate(deg/min)
529	1000		9th axis JOG feedrate(deg/min)
530	1000		10th axis JOG feedrate(deg/min)
531	1000		11th axis JOG feedrate(deg/min)
532	1000		12th axis JOG feedrate(deg/min)
533	1000		13th axis JOG feedrate(deg/min)
534	1000		14th axis JOG feedrate(deg/min)
535	1000		15th axis JOG feedrate(deg/min)
536	1000		16th axis JOG feedrate(deg/min)
541	50		X axis cutting acceleration time(ms)
542	50		Y axis cutting acceleration time(ms)
543	50		Z axis cutting acceleration time(ms)
544	50		4th axis cutting acceleration time(ms)
545	50		5th axis cutting acceleration time(ms)
546	50		6th axis cutting acceleration time(ms)
547	50		7th axis cutting acceleration time(ms)
548	50		8th axis cutting acceleration time(ms)
549	50		9th axis cutting acceleration time(ms)
550	50		10th axis cutting acceleration time(ms)
551	50		11th axis cutting acceleration time(ms)
552	50		12th axis cutting acceleration time(ms)
553	50		13th axis cutting acceleration time(ms)
554	50		14th axis cutting acceleration time(ms)
555	50		15th axis cutting acceleration time(ms)
556	50		16th axis cutting acceleration time(ms)
561	100		X axis loss pulse check window(0.001 mm)
562	100		Y axis loss pulse check window(0.001 mm)
563	100		Z axis loss pulse check window(0.001 mm)
564	1000		4th axis loss pulse check window(0.001 mm)
565	100		5th axis loss pulse check window(0.001 mm)
566	100		6th axis loss pulse check window(0.001 mm)
567	100		7th axis loss pulse check window(0.001 mm)
568	100		8th axis loss pulse check window(0.001 mm)
569	100		9th axis loss pulse check window(0.001 mm)
570	100		10th axis loss pulse check window(0.001 mm)
571	100		11th axis loss pulse check window(0.001 mm)
572	100		12th axis loss pulse check window(0.001 mm)
573	100		13th axis loss pulse check window(0.001 mm)
574	100		14th axis loss pulse check window(0.001 mm)
575	100		15th axis loss pulse check window(0.001 mm)
576	100		16th axis loss pulse check window(0.001 mm)
581	0		X axis velocity feed forward percentage
582	0		Y axis velocity feed forward percentage
583	0		Z axis velocity feed forward percentage
584	0		4th axis velocity feed forward percentage
585	0		5th axis velocity feed forward percentage
586	0		6th axis velocity feed forward percentage
587	0		7th axis velocity feed forward percentage
588	0		8th axis velocity feed forward percentage
589	0		9th axis velocity feed forward percentage
590	0		10th axis velocity feed forward percentage
591	0		11th axis velocity feed forward percentage
592	0		12th axis velocity feed forward percentage
593	0		13th axis velocity feed forward percentage
594	0		14th axis velocity feed forward percentage
595	0		15th axis velocity feed forward percentage
596	0		16th axis velocity feed forward percentage
601	3600000		X axis max. corner reference feedrate(mm/min)
602	3600000		Y axis max. corner reference feedrate(mm/min)
603	3600000		Z axis max. corner reference feedrate(mm/min)
604	3600000		4th axis max. corner reference feedrate(mm/min)
605	3600000		5th axis max. corner reference feedrate(mm/min)
606	3600000		6th axis max. corner reference feedrate(mm/min)
607	3600000		7th axis max. corner reference feedrate(mm/min)
608	3600000		8th axis max. corner reference feedrate(mm/min)
609	3600000		9th axis max. corner reference feedrate(mm/min)
610	3600000		10th axis max. corner reference feedrate(mm/min)
611	3600000		11th axis max. corner reference feedrate(mm/min)
612	3600000		12th axis max. corner reference feedrate(mm/min)
613	3600000		13th axis max. corner reference feedrate(mm/min)
614	3600000		14th axis max. corner reference feedrate(mm/min)
615	3600000		15th axis max. corner reference feedrate(mm/min)
616	3600000		16th axis max. corner reference feedrate(mm/min)
621	35000		X axis maximum cutting feedrate(mm/min)
622	35000		Y axis maximum cutting feedrate(mm/min)
623	5000		Z axis maximum cutting feedrate(mm/min)
624	20000		4th axis maximum cutting feedrate(mm/min)
625	10000		5th axis maximum cutting feedrate(mm/min)
626	10000		6th axis maximum cutting feedrate(mm/min)
627	10000		7th axis maximum cutting feedrate(mm/min)
628	10000		8th axis maximum cutting feedrate(mm/min)
629	10000		9th axis maximum cutting feedrate(mm/min)
630	10000		10th axis maximum cutting feedrate(mm/min)
631	10000		11th axis maximum cutting feedrate(mm/min)
632	10000		12th axis maximum cutting feedrate(mm/min)
633	10000		13th axis maximum cutting feedrate(mm/min)
634	10000		14th axis maximum cutting feedrate(mm/min)
635	10000		15th axis maximum cutting feedrate(mm/min)
636	10000		16th axis maximum cutting feedrate(mm/min)
641	100		X axis Acc. accelerated to 1G time(Jerk)(ms)
642	100		Y axis Acc. accelerated to 1G time(Jerk)(ms)
643	100		Z axis Acc. accelerated to 1G time(Jerk)(ms)
644	100		4th axis Acc. accelerated to 1G time(Jerk)(ms)
645	50		5th axis Acc. accelerated to 1G time(Jerk)(ms)
646	50		6th axis Acc. accelerated to 1G time(Jerk)(ms)
647	50		7th axis Acc. accelerated to 1G time(Jerk)(ms)
648	50		8th axis Acc. accelerated to 1G time(Jerk)(ms)
649	50		9th axis Acc. accelerated to 1G time(Jerk)(ms)
650	50		10th axis Acc. accelerated to 1G time(Jerk)(ms)
651	50		11th axis Acc. accelerated to 1G time(Jerk)(ms)
652	50		12th axis Acc. accelerated to 1G time(Jerk)(ms)
653	50		13th axis Acc. accelerated to 1G time(Jerk)(ms)
654	50		14th axis Acc. accelerated to 1G time(Jerk)(ms)
655	50		15th axis Acc. accelerated to 1G time(Jerk)(ms)
656	50		16th axis Acc. accelerated to 1G time(Jerk)(ms)
661	0		X axis MPG feedrate(mm/min)
662	0		Y axis MPG feedrate(mm/min)
663	0		Z axis MPG feedrate(mm/min)
664	0		4th axis MPG feedrate(deg/min)
665	0		5th axis MPG feedrate(deg/min)
666	0		6th axis MPG feedrate(deg/min)
667	0		7th axis MPG feedrate(deg/min)
668	0		8th axis MPG feedrate(deg/min)
669	0		9th axis MPG feedrate(deg/min)
670	0		10th axis MPG feedrate(deg/min)
671	0		11th axis MPG feedrate(deg/min)
672	0		12th axis MPG feedrate(deg/min)
673	0		13th axis MPG feedrate(deg/min)
674	0		14th axis MPG feedrate(deg/min)
675	0		15th axis MPG feedrate(deg/min)
676	0		16th axis MPG feedrate(deg/min)
701	1		*X axis associated axis groups
702	1		*Y axis associated axis groups
703	1		*Z axis associated axis groups
704	1		*4th axis associated axis groups
705	1		*5th axis associated axis groups
706	1		*6th axis associated axis groups
707	1		*7th axis associated axis groups
708	1		*8th axis associated axis groups
709	1		*9th axis associated axis groups
710	1		*10th axis associated axis groups
711	1		*11th axis associated axis groups
712	1		*12th axis associated axis groups
713	1		*13th axis associated axis groups
714	1		*14th axis associated axis groups
715	1		*15th axis associated axis groups
716	1		*16th axis associated axis groups
721	1		*First axis group MST channel no.
722	1		*Second axis group MST channel no.
723	1		*Third axis group MST channel no.
724	1		*Fourth axis group MST channel no.
731	1		*The number of axis group in CNC.
803	0		*Home Dog signal source(0:I/O; 1:Motion)
821	1000		X axis homing feedrate(mm/min)
822	1000		Y axis homing feedrate(mm/min)
823	1000		Z axis homing feedrate(mm/min)
824	1000		4th axis homing feedrate(deg/min)
825	10000		5th axis homing feedrate(deg/min)
826	10000		6th axis homing feedrate(deg/min)
827	10000		7th axis homing feedrate(deg/min)
828	10000		8th axis homing feedrate(deg/min)
829	10000		9th axis homing feedrate(deg/min)
830	10000		10th axis homing feedrate(deg/min)
831	10000		11th axis homing feedrate(deg/min)
832	10000		12th axis homing feedrate(deg/min)
833	10000		13th axis homing feedrate(deg/min)
834	10000		14th axis homing feedrate(deg/min)
835	10000		15th axis homing feedrate(deg/min)
836	10000		16th axis homing feedrate(deg/min)
841	100		X axis homing 2nd travel feedrate(mm/min)
842	100		Y axis homing 2nd travel feedrate(mm/min)
843	100		Z axis homing 2nd travel feedrate(mm/min)
844	100		4th axis homing 2nd travel feedrate(deg/min)
845	2000		5th axis homing 2nd travel feedrate(deg/min)
846	2000		6th axis homing 2nd travel feedrate(deg/min)
847	2000		7th axis homing 2nd travel feedrate(deg/min)
848	2000		8th axis homing 2nd travel feedrate(deg/min)
849	2000		9th axis homing 2nd travel feedrate(deg/min)
850	2000		10th axis homing 2nd travel feedrate(deg/min)
851	2000		11th axis homing 2nd travel feedrate(deg/min)
852	2000		12th axis homing 2nd travel feedrate(deg/min)
853	2000		13th axis homing 2nd travel feedrate(deg/min)
854	2000		14th axis homing 2nd travel feedrate(deg/min)
855	2000		15th axis homing 2nd travel feedrate(deg/min)
856	2000		16th axis homing 2nd travel feedrate(deg/min)
861	1		X axis homing direction(0:pos;1:neg)
862	1		Y axis homing direction(0:pos;1:neg)
863	0		Z axis homing direction(0:pos;1:neg)
864	0		4th axis homing direction(0:pos;1:neg)
865	0		5th axis homing direction(0:pos;1:neg)
866	0		6th axis homing direction(0:pos;1:neg)
867	0		7th axis homing direction(0:pos;1:neg)
868	0		8th axis homing direction(0:pos;1:neg)
869	0		9th axis homing direction(0:pos;1:neg)
870	0		10th axis homing direction(0:pos;1:neg)
871	0		11th axis homing direction(0:pos;1:neg)
